Movie Title,Director,Main Cast
Dekalog (1988),Krzysztof Kieslowski,"Artur Barcis, Olgierd Lukaszewicz, Olaf Lubaszenko, Aleksander Bardini, Krystyna Janda, Piotr Machalica, Jan Tesarz, Stanislaw Gawlik, Krzysztof Kumor, Katarzyna Piwowarczyk, Maciej Szary, Henryk Baranowski, Daniel Olbrychski, Grazyna Szapolowska, Ewa Blaszczyk, Jerzy Stuhr, Miroslaw Baka, Adrianna Biedrzynska, Anna Polony, Maria Koscialkowska, Zbigniew Zamachowski, Maria Pakulnis, Janusz Gajos, Wojciech Klata, Krzysztof Globisz, Maja Barelkowska, Teresa Marczewska, Wladyslaw Kowalski, Maja Komorowska, Henryk Bista, Stefania Iwinska, Joanna Szczepkowska, Boguslaw Linda, Tadeusz Lomnicki, Jan Jankowski, Maciej Stuhr, Marian Opania, Jolanta Pietek-Górecka, Adam Hanuszkiewicz, Krystyna Drochocka, Agnieszka Brustman, Bozena Dykiel, Bronislaw Pawlik, Jerzy Turek, Maciej Borninski, Jerzy Trela, Dorota Stalinska, Anna Gornostaj, Igor Smialowski, Wojciech Asinski, Magdalena Mikolajczak, Rafal Imbro, Andrzej Blumenfeld, Maria Gladkowska, Jan Piechocinski, Marek Kepinski, Zygmunt Fok, Daniel Kozakiewicz, Krystyna Bigelmajer, Stefania Blonska, Malgorzata Boratynska, Zbigniew Zapasiewicz, Renata Berger, Malgorzata Rozniatowska, Janusz Mond, Henryk Majcherek, Elzbieta Kilarska, Jerzy Zygmunt Nowak, Jerzy Fedorowicz, Janusz Cywinski, Miroslawa Maludzinska, Anna Smal-Romanska, Dariusz Jablonski, Krzysztof Rojek, Grzegorz Warchol, Tomasz Kozlowicz, Ewa Kania, Zbigniew Borek, Jolanta Cichon, Jacek Kalucki, Karol Dillenius, Wojciech Sanejko, Piotr Siejka, Ewa Radzikowska, Helena Norowicz, Elzbieta Panas, Maciej Slawinski, Wladyslaw Byrdy, Slawomir Kwiatkowski, Piotr Rzymyszkiewicz, Ewa Skibinska, Cezary Harasimowicz, Jan Mayzel, Aleksander Bednarz, Barbara Kolodziejska, Aleksandra Kisielewska, Dariusz Przychoda, Ewa Ekwinska, Wojciech Starostecki, Piotr Wyrzykowski"
The Godfather,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Richard S. Castellano, Robert Duvall, Sterling Hayden, John Marley, Richard Conte, Al Lettieri, Diane Keaton, Abe Vigoda, Talia Shire, Gianni Russo, John Cazale, Rudy Bond, Al Martino, Morgana King, Lenny Montana, John Martino, Salvatore Corsitto, Richard Bright, Alex Rocco, Tony Giorgio, Vito Scotti, Tere Livrano, Victor Rendina, Jeannie Linero, Julie Gregg, Ardell Sheridan, Simonetta Stefanelli, Angelo Infanti, Corrado Gaipa, Franco Citti, Saro Urzì, Frank Albanese, Chris Anastasio, Norm Bacchiocchi, John Blower, Max Brandt, Tybee Brascia, Garrett Cassell, Carmine Coppola, Gian-Carlo Coppola, Italia Coppola, Roman Coppola, Sofia Coppola, Don Costello, Robert Dahdah, Richard Fass, Gray Frederickson, Ron Gilbert, Anthony Gounaris, Joe Lo Grippo, Sonny Grosso, Louis Guss, Bobra Harris, Merril E. Joels, Randy Jurgensen, Tony King, Paul Lambert, Peter Lemongello, Tony Lip, Lou Martini Jr., Raymond Martino, Joseph Medaglia, Carol Morley, Dave Moskin, Rick Petrucelli, Joe Petrullo, Burt Richards, Sal Richards, Chuck Riley, Tom Rosqui, Giacomo Rossi Stuart, Nino Ruggeri, Frank Sivero, Filomena Spagnuolo, Joe Spinell, Gabriele Torrei, Nick Vallelonga, Ed Vantura, Ron Veto, Matthew Vlahakis, Conrad Yama, Louis DiGiaimo, Andrea Eastman, Fred Roos, Riccardo Bertoni"
The Conformist,Bernardo Bertolucci,"Jean-Louis Trintignant, Stefania Sandrelli, Gastone Moschin, Enzo Tarascio, Fosco Giachetti, José Quaglio, Yvonne Sanson, Milly, Antonio Maestri, Alessandro Haber, Luciano Rossi, Massimo Sarchielli, Pierangelo Civera, Giuseppe Addobbati, Christian Aligny, Carlo Gaddi, Umberto Silvestri, Furio Pellerani, Luigi Antonio Guerra, Orso Maria Guerrini, Pasquale Fortunato, Pierre Clémenti, Dominique Sanda, Gianni Amico, Joel Barcellos, Christian Belaygue, Benedetto Benedetti, Claudio Cappeli, Romano Costa, Marilyn Goldin, Marta Lado, Giorgio Pelloni, Filippo Perego, Gino Vagniluca"
The Leopard (re-release),Luchino Visconti,"Burt Lancaster, Claudia Cardinale, Alain Delon, Paolo Stoppa, Rina Morelli, Romolo Valli, Terence Hill, Pierre Clémenti, Lucilla Morlacchi, Giuliano Gemma, Ida Galli, Ottavia Piccolo, Carlo Valenzano, Brook Fuller, Anna Maria Bottini, Lola Braccini, Marino Masé, Howard Nelson Rubien, Tina Lattanzi, Marcella Rovena, Rina De Liguoro, Valerio Ruggeri, Giovanni Melisenda, Giancarlo Lolli, Franco Gulà, Vittorio Duse, Vanni Materassi, Giuseppe Stagnitti, Carmelo Artale, Olimpia Cavalli, Anna Maria Surdo, Halina Zalewska, Winni Riva, Stelvio Rosi, Carlo Palmucci, Dante Posani, Rosolino Bua, Ivo Garrani, Leslie French, Serge Reggiani, Pippo Agusta, Inna Alexeievna, Marie Bell, Omero Capanna, Lou Castel, Sandra Christolini, Maurizio Merli, Augusto Pescarini, Paola Piscini, Amalia Troiani"
Lawrence of Arabia (re-release),David Lean,"Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins, Omar Sharif, José Ferrer, Anthony Quayle, Claude Rains, Arthur Kennedy, Donald Wolfit, I.S. Johar, Gamil Ratib, Michel Ray, John Dimech, Zia Mohyeddin, Howard Marion-Crawford, Jack Gwillim, Hugh Miller, John Barry, Bruce Beeby, Fred Bennett, John Bennett, Steve Birtles, Robert Bolt, Peter Burton, J.R.M. Chapman, Tim Clutterbuck, Barbara Cole, John Crewdson, Victor Croxford, Basil Dignam, Peter Dukelow, Mohamed El Habachi, Norman Fisher, Kenneth Fortescue, Harry Fowler, Charles Gray, James Hayter, Jack Hedley, Rafael Hernández, Bert Holliday, Noel Howlett, Cher Kaoiu, Patrick Kavanagh, David Lean, Ned Lynch, Ian MacNaughton, Clive Morton, Daniel Moynihan, Henry Oscar, Harry Phipps, George Plimpton, Bryan Pringle, Kamal Rashid, Ernie Rice, Robert Rietty, John Robinson, Norman Rossington, John Ruddock, Fernando Sancho, Stuart Saunders, Cyril Shaps, Jack Sharp, George Spence, Roy Stevens, Graham Tonbridge, Barry Warren, Maude Spector"
Citizen Kane,Orson Welles,"Joseph Cotten, Dorothy Comingore, Agnes Moorehead, Ruth Warrick, Ray Collins, Erskine Sanford, Everett Sloane, William Alland, Paul Stewart, George Coulouris, Fortunio Bonanova, Gus Schilling, Philip Van Zandt, Georgia Backus, Harry Shannon, Sonny Bupp, Buddy Swan, Orson Welles, Don Ackerman, Loretta Agar, John Alban, Demetrius Alexis, Peter Allen, William Alston, Baudelio Alva, T. Lockwood Arbright, Sam Ash, Michael Audley, Walter Bacon, Harry A. Bailey, Richard Barr, Alva Baudena, Brandon Beach, Charles Bennett, Joan Blair, William A. Boardway, Danny Borzage, Robert Brent, James Brought, Morgan Brown, Harry Burkhardt, William Calkins, Porter Chase, Gene Chervow, J.J. Clark, Dorothy Cleveland, Edmund Cobb, Eddie Coke, Nat 'King' Cole, Tom Coleman, Gene Coogan, Sally Corner, Gino Corrado, Herbert Corthell, Maurice Costello, Irene Crosby, Charles Cross, Thomas A. Curran, Louise Currie, Jack Curtis, Ed Dahlen, Ernie Daniels, Coy Danz, Margaret Davis, Tim Davis, Dona Dax, Marie Day, Petra R. de Silva, Gayle DeCamp, Frances Deets, Carl Deloro, George DeNormand, Eddie Dew, John Dilson, Robert Dudley, Lou Duello, Suzanne Dulier, Art Dupuis, Pauline Easterday, Al Eben, Johnny Eckert, Jack Egan, Carl Ekberg, Richard Elmore, Edith Evanson, Carl Faulkner, Juanita Fields, Bess Flowers, Jack Floyd, Ray Flynn, Monty Ford, Jean Forward, Olin Francis, Louise Franklin, Al Frazier, Guy Gada, Gloria Gale, Captain Garcia, Jack Gargan, Bud Geary, Rufus Le Maire, Robert Palmer"
Boyhood,Richard Linklater,"Ellar Coltrane, Patricia Arquette, Elijah Smith, Lorelei Linklater, Steven Chester Prince, Bonnie Cross, Sydney Orta, Libby Villari, Ethan Hawke, Marco Perella, Jamie Howard, Andrew Villarreal, Shane Graham, Tess Allen, Ryan Power, Sharee Fowler, Mark Finn, Charlie Sexton, Byron Jenkins, Holly Moore, David Blackwell, Barbara Chisholm, Matthew Martinez-Arndt, Cassidy Johnson, Cambell Westmoreland, Jennifer Griffin, Garry Peters, Merrilee McCommas, Tamara Jolaine, Jordan Howard, Andrew Bunten, Tyler Strother, Evie Thompson, Brad Hawkins, Savannah Welch, Mika Odom, Sinjin Venegas, Nick Krause, Derek Chase Hickey, Angela Rawna, Megan Devine, Jenni Tooley, Landon Collier, Roland Ruiz, Richard Andrew Jones, Karen Jones, Gordon Friday, Tom McTigue, Sam Dillon, Martel Summers, David Clark, Zoe Graham, Jessie Tilton, Richard Robichaux, Will Harris, Indica Shaw, Bruce Salmon, Wayne Sutton, Joe Sundell, Sean Tracey, Ben Hodges, Daniel Zeh, Chris Doubek, Andrea McKinnon, Mona Lee Fultz, Bill Wise, Alina Linklater, Charlotte Linklater, Genevieve Kinney, Elijah Ford, Kyle Crusham, Conrad Choucroun, Maximillian McNamara, Taylor Weaver, Jessi Mechler, Virginia Allee, Renne Araujo, Marina Arellano, Brad Ausmus, Greg Baglia, Jonathan Bell, Deanna Brochin, Jayson Champion, Roger Clemens, Lise' Creed, Ken Edwards, Maria Engler, Evan Freeze, Justin Jacobs, Amber Jaycox, Samantha Kelly, Kaitlyn King, Jason Lane, Stephen Latham, Elizabeth Lestina, Alexander Lu, Marian Luntz, Natalie Makenna, Doug Mansolino, Heather Materne, Beth Sepko, Angela Burns, Lacey Gordon, Chris Telles"
Tokyo Story,Yasujirô Ozu,"Chishû Ryû, Chieko Higashiyama, Setsuko Hara, Haruko Sugimura, Sô Yamamura, Kuniko Miyake, Kyôko Kagawa, Eijirô Tôno, Nobuo Nakamura, Shirô Ôsaka, Hisao Toake, Teruko Nagaoka, Mutsuko Sakura, Toyo Takahashi, Tôru Abe, Sachiko Mitani, Zen Murase, Mitsuhiro Môri, Junko Anan, Ryôko Mizuki, Yoshiko Togawa, Kazuhiro Itokawa, Fumio Tooyama, Keijirô Morozumi, Tsutomu Niijima, Shôzô Suzuki, Yoshiko Tashiro, Haruko Chichibu, Takashi Miki, Binnosuke Nagao"
Three Colors: Red,Krzysztof Kieslowski,"Irène Jacob, Jean-Louis Trintignant, Frédérique Feder, Jean-Pierre Lorit, Samuel Le Bihan, Marion Stalens, Teco Celio, Bernard Escalon, Jean Schlegel, Elzbieta Jasinska, Paul Vermeulen, Jean-Marie Daunas, Roland Carey, Brigitte Raul, Leo Ramseyer, Nader Farman, Cécile Tanner, Anne Theurillat, Neige Dolsky, Jessica Korinek, Marc Autheman, Juliette Binoche, Julie Delpy, Benoît Régent, Zbigniew Zamachowski, Margot Capelier"
Rear Window,Alfred Hitchcock,"James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter, Raymond Burr, Judith Evelyn, Ross Bagdasarian, Georgine Darcy, Sara Berner, Frank Cady, Jesslyn Fax, Rand Harper, Irene Winston, Havis Davenport, Jerry Antes, Barbara Bailey, Benny Bartlett, Nick Borgani, Sue Casey, Iphigenie Castiglioni, James Cornell, Don Dunning, Marla English, Bess Flowers, Art Gilmore, Fred Graham, Kathryn Grant, Stephanie Griffin, Charles Harvey, Len Hendry, Alfred Hitchcock, Harry Landers, Alan Lee, Mike Mahoney, Jonni Paris, Eddie Parker, Robert Sherman, Dick Simmons, Ralph Smiley, Jack Stoney, Anthony Warde, Gig Young"
